rango_edad,ocupacion,horas_diarias_pantalla,categoria_app_principal,app_mas_usada,intento_reducir_pantalla,frecuencia_completar_tareas,frecuencia_concentracion_sin_celular,origen
Menor de 17,Estudiante Secundario,Menos de 2 horas,Social,TikTok,Sí,Casi siempre,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Instagram,Sí,Casi nunca,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Whatsapp,No,Rara vez,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Juegos,Youtube,Sí,Casi nunca,Algunas veces,sintetico
Menor de 17,Estudiante Secundario,Más de 8 horas,Ocio/Streaming,Otros,Sí,Casi siempre,Nunca puedo evitar las interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,TikTok,Sí,Casi siempre,Algunas veces,sintetico
Más de 35,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Ocio/Streaming,Whatsapp,No,Frecuentemente,Casi siempre,sintetico
18-25,Estudiante Secundario,Más de 8 horas,Juegos,Instagram,Sí,Rara vez,Algunas veces,sintetico
18-25,Otros,Entre 6 a 8 horas,Social,Whatsapp,No,Frecuentemente,Casi nunca,sintetico
26-35,Otros,Entre 2 a 4 horas,Juegos,Youtube,Sí,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Whatsapp,Sí,Frecuentemente,Casi siempre,sintetico
Más de 35,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Facebook,Sí,Casi siempre,Casi siempre,sintetico
Más de 35,Otros,Más de 8 horas,Ocio/Streaming,Whatsapp,No,A veces,Nunca puedo evitar las interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,TikTok,Sí,A veces,Nunca puedo evitar las interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,TikTok,No,Frecuentemente,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Ocio/Streaming,Youtube,Sí,Rara vez,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Instagram,Sí,Rara vez,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Juegos,Whatsapp,No,A veces,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Whatsapp,No,A veces,Casi nunca,sintetico
18-25,Estudiante Secundario,Entre 6 a 8 horas,Ocio/Streaming,Youtube,No,A veces,Algunas veces,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Juegos,Youtube,No,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Ocio/Streaming,TikTok,No,Rara vez,Casi siempre,sintetico
Más de 35,Otros,Entre 4 a 6 horas,Social,Facebook,No,A veces,Algunas veces,sintetico
18-25,Otros,Más de 8 horas,Otros,TikTok,No,Casi nunca,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 4 a 6 horas,Ocio/Streaming,Whatsapp,No,A veces,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,Youtube,No,Frecuentemente,Algunas veces,sintetico
Más de 35,Estudiante Universitario/Terciario,Más de 8 horas,Social,Instagram,Sí,A veces,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Juegos,Instagram,No,Frecuentemente,Casi siempre,sintetico
26-35,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Instagram,Sí,Casi siempre,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Menos de 2 horas,Ocio/Streaming,Whatsapp,No,A veces,Nunca puedo evitar las interrupciones,sintetico
18-25,Otros,Entre 6 a 8 horas,Juegos,Whatsapp,No,A veces,Casi siempre,sintetico
26-35,Otros,Entre 6 a 8 horas,Juegos,Facebook,Sí,Rara vez,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Whatsapp,No,Casi nunca,Casi siempre,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,TikTok,Sí,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Instagram,Sí,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Menos de 2 horas,Ocio/Streaming,Instagram,No,A veces,Casi siempre,sintetico
Menor de 17,Otros,Entre 4 a 6 horas,Social,Instagram,Sí,Frecuentemente,Algunas veces,sintetico
26-35,Otros,Entre 4 a 6 horas,Ocio/Streaming,Instagram,No,A veces,Casi siempre,sintetico
18-25,Otros,Entre 4 a 6 horas,Juegos,TikTok,No,Frecuentemente,Algunas veces,sintetico
18-25,Otros,Entre 4 a 6 horas,Juegos,Instagram,Sí,A veces,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Más de 8 horas,Social,TikTok,Sí,Casi nunca,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Juegos,Instagram,Sí,Rara vez,Algunas veces,sintetico
26-35,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,TikTok,Sí,Frecuentemente,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Entre 6 a 8 horas,Juegos,Youtube,No,A veces,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Social,TikTok,No,Casi siempre,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,Instagram,Sí,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Juegos,Whatsapp,No,Casi nunca,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Instagram,Sí,Casi siempre,Algunas veces,sintetico
26-35,Otros,Entre 2 a 4 horas,Social,TikTok,No,Casi siempre,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Secundario,Más de 8 horas,Ocio/Streaming,Whatsapp,Sí,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
Más de 35,Otros,Entre 4 a 6 horas,Ocio/Streaming,TikTok,No,Frecuentemente,Algunas veces,sintetico
Menor de 17,Estudiante Secundario,Entre 2 a 4 horas,Ocio/Streaming,TikTok,Sí,Casi siempre,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,Instagram,No,A veces,Casi nunca,sintetico
Menor de 17,Estudiante Secundario,Más de 8 horas,Ocio/Streaming,Facebook,Sí,A veces,Nunca puedo evitar las interrupciones,sintetico
Más de 35,Otros,Entre 4 a 6 horas,Social,Whatsapp,No,Frecuentemente,Algunas veces,sintetico
26-35,Otros,Entre 4 a 6 horas,Social,Whatsapp,No,Frecuentemente,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 6 a 8 horas,Social,TikTok,Sí,A veces,Casi nunca,sintetico
26-35,Otros,Entre 2 a 4 horas,Otros,Instagram,No,Frecuentemente,Algunas veces,sintetico
26-35,Otros,Menos de 2 horas,Ocio/Streaming,Facebook,No,Casi siempre,Siempre puedo trabajar sin interrupciones,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Social,Instagram,Sí,A veces,Casi nunca,sintetico
18-25,Estudiante Universitario/Terciario,Entre 2 a 4 horas,Ocio/Streaming,Instagram,Sí,Casi nunca,Casi siempre,sintetico
18-25,Otros,Entre 2 a 4 horas,Otros,Youtube,No,Frecuentemente,Casi siempre,sintetico
Menor de 17,Otros,Entre 2 a 4 horas,Social,Facebook,Sí,A veces,Casi siempre,sintetico
26-35,Otros,Entre 6 a 8 horas,Ocio/Streaming,Facebook,Sí,A veces,Algunas veces,sintetico
Más de 35,Otros,Entre 2 a 4 horas,Ocio/Streaming,Whatsapp,Sí,Casi siempre,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Entre 4 a 6 horas,Ocio/Streaming,TikTok,No,Frecuentemente,Algunas veces,sintetico
18-25,Estudiante Universitario/Terciario,Más de 8 horas,Social,Instagram,Sí,Rara vez,Algunas veces,sintetico
18-25,Otros,Entre 4 a 6 horas,Juegos,Whatsapp,No,Frecuentemente,Siempre puedo trabajar sin interrupciones,sintetico
26-35,Otros,Entre 6 a 8 horas,Otros,Youtube,No,Casi nunca,Nunca puedo evitar las interrupciones,sintetico
26-35,Otros,Entre 2 a 4 horas,Ocio/Streaming,Whatsapp,No,Casi siempre,Casi siempre,sintetico
26-35,Otros,Entre 2 a 4 horas,Ocio/Streaming,Otros,No,A veces,Casi nunca,sintetico
26-35,Otros,Menos de 2 horas,Otros,Instagram,Sí,Rara vez,Siempre puedo trabajar sin interrupciones,sintetico
